municipality,type,iata_code,latitude_deg,longitude_deg,iso_country
Honey Grove,heliport,,40.403596,-77.556602,US
Monroeville,heliport,,40.438301,-79.769997,US
Berwyn,heliport,,40.06959915161133,-75.4552001953125,US
Vega Baja,small_airport,,18.464924,-66.363773,PR
Tioga,small_airport,,41.90060043334961,-77.23030090332031,US
Estill,small_airport,,32.760211,-81.225872,US
Wise River,small_airport,,45.769100189208984,-112.98200225830078,US
Matagorda,heliport,,28.722177,-95.875813,US
Waxahachie,heliport,,32.39540100097656,-96.86419677734375,US
Rockvale,small_airport,,35.780355,-86.585521,US
Fort Worth,closed,,32.747601,-97.370003,US
New Home,closed,,33.370403,-101.922882,US
Lucin,small_airport,,41.369336,-113.841019,US
Culpeper,small_airport,,38.435699462890625,-77.8572006225586,US
Bristol,heliport,,36.63880157470703,-82.11669921875,US
South Prairie,small_airport,,47.15230178833008,-122.09400177001953,US
Hudson,small_airport,,45.031898498535156,-92.65579986572266,US
Tonasket,small_airport,,48.74580001831055,-119.31900024414062,US
Honey Grove,small_airport,,33.591319,-95.882864,US
Austin,closed,,30.100941,-97.672607,US
Palmer,heliport,,61.556055,-149.284527,US
Kenai,seaplane_base,,60.72722244262695,-151.13278198242188,US
Scottsboro,heliport,,34.662604,-86.046774,US
Malvern,heliport,,34.357601165771484,-92.78849792480469,US
Hereford,small_airport,,31.430971,-110.088087,US
La Mesa,heliport,,32.779484,-117.006952,US
Platteville,small_airport,,40.211608,-104.744781,US
Lake Placid,small_airport,,27.353099822998047,-81.40809631347656,US
Bonifay,closed,,30.8288,-85.731003,US
West Palm Beach,heliport,,26.683716,-80.186561,US
Statesboro,small_airport,,32.561626,-81.85509,US
Circleville,closed,,39.644199,-83.018204,US
Montezuma,closed,,41.581902,-92.461304,US
Council,small_airport,,44.793965,-116.531543,US
Mount Vernon,small_airport,,37.9620018005,-87.7789001465,US
Monee,small_airport,,41.40230178833008,-87.81670379638672,US
Arcadia,small_airport,,40.18000030517578,-86.01249694824219,US
Alton,heliport,,38.904999,-90.173401,US
Highland,heliport,,39.86470031738281,-95.26409912109375,US
Henderson,small_airport,,37.796085,-87.53859,US
Carville,heliport,,30.199600219726562,-91.12789916992188,US
Winnsboro,heliport,,32.159000396728516,-91.70800018310547,US
East Winthrop,seaplane_base,,44.320899963378906,-69.8895034790039,US
Hadley,small_airport,,42.393431,-72.551553,US
Bel Air,heliport,,39.518427,-76.346022,US
Harrison,small_airport,,44.084251,-70.626905,US
Bay City,heliport,,43.550899505615234,-83.86219787597656,US
Lakefield,small_airport,,43.62519836425781,-95.22470092773438,US
Urbana,closed,,37.884499,-93.131599,US
Vicksburg,heliport,,32.31880187988281,-90.8832015991211,US
Cascade,small_airport,,47.267327,-111.71748,US
Archie,small_airport,,38.4925,-94.412498,US
Utirik Island,small_airport,UTK,11.222,169.852005,MH
Carolina Beach,small_airport,,34.10430145263672,-77.9041976928711,US
Edinburg,small_airport,,48.626399993896484,-97.8290023803711,US
